Site ID,Site name,Relates to individual placed at non-funded non-licensed OPR?,SOR ID,Confidential private SOR,Status,SOR Initiator,Date of Serious Occurrence,Time of Serious Occurrence,Date of Report Submission,Time of Report Submission,Last Update Date,Last Update Time,Update Due Date,Revision Due Date,SOR Level,Media attention,# of individuals,# of unique non-client individuals (associated to specific COVID 19 SORs),# of unique categories,Categories
SYN-SITE-05,Synthetic Site E,N,SYN-E00001,,Closed,,2025-09-02,06:00:00,2025-09-04,07:00:00,2025-09-05,07:00:00,,,2,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00002,,Open,,2025-09-19,06:00:00,2025-09-20,07:00:00,2025-09-24,07:00:00,,,2,N,3,0,4,
SYN-SITE-01,Synthetic Site A,N,SYN-E00003,,Closed,,2025-09-19,13:45:00,2025-09-19,14:45:00,2025-09-23,14:45:00,,,1,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00004,,Under Review,,2025-09-28,06:00:00,2025-09-29,07:00:00,2025-09-29,07:00:00,,,2,N,1,0,1,
SYN-SITE-01,Synthetic Site A,N,SYN-E00005,,Closed,,2025-09-06,10:45:00,2025-09-06,11:45:00,2025-09-07,11:45:00,,,1,N,1,0,1,
SYN-SITE-01,Synthetic Site A,N,SYN-E00006,,Closed,,2025-09-04,11:15:00,2025-09-05,12:15:00,2025-09-09,12:15:00,,,1,N,2,0,3,
SYN-SITE-04,Synthetic Site D,N,SYN-E00007,,Closed,,2025-09-26,18:15:00,2025-09-26,19:15:00,2025-09-30,19:15:00,,,2,N,1,0,2,
SYN-SITE-06,Synthetic Site F,N,SYN-E00008,,Closed,,2025-09-15,18:45:00,2025-09-16,19:45:00,2025-09-20,19:45:00,,,2,N,3,0,4,
SYN-SITE-01,Synthetic Site A,N,SYN-E00009,,Under Review,,2025-09-17,09:45:00,2025-09-18,10:45:00,2025-09-18,10:45:00,,,1,N,1,0,2,
SYN-SITE-05,Synthetic Site E,N,SYN-E00010,,Closed,,2025-09-05,17:15:00,2025-09-05,18:15:00,2025-09-08,18:15:00,,,2,N,1,0,1,
SYN-SITE-01,Synthetic Site A,N,SYN-E00011,,Open,,2025-09-01,07:00:00,2025-09-03,08:00:00,2025-09-03,08:00:00,,,1,N,2,0,3,
SYN-SITE-01,Synthetic Site A,N,SYN-E00012,,Closed,,2025-09-22,15:45:00,2025-09-25,16:45:00,2025-09-27,16:45:00,,,1,N,1,0,2,
SYN-SITE-05,Synthetic Site E,N,SYN-E00013,,Under Review,,2025-09-03,11:30:00,2025-09-05,12:30:00,2025-09-05,12:30:00,,,2,N,1,0,2,
SYN-SITE-03,Synthetic Site C,N,SYN-E00014,,Open,,2025-09-18,15:00:00,2025-09-19,16:00:00,2025-09-19,16:00:00,,,1,N,1,0,1,
SYN-SITE-04,Synthetic Site D,N,SYN-E00015,,Closed,,2025-09-25,15:15:00,2025-09-26,16:15:00,2025-09-27,16:15:00,,,2,N,2,0,3,
SYN-SITE-02,Synthetic Site B,N,SYN-E00016,,Under Review,,2025-09-13,12:30:00,2025-09-14,13:30:00,2025-09-17,13:30:00,,,1,N,1,0,1,
SYN-SITE-02,Synthetic Site B,N,SYN-E00017,,Open,,2025-09-04,13:00:00,2025-09-04,14:00:00,2025-09-04,14:00:00,,,2,N,1,0,1,
