feature,factor,reference_loading,p025,p975
danceability,1,-0.02255763496484195,-0.04129030915220845,0.10637178608525974
danceability,2,0.9971406920522393,0.6424860537247132,0.9973229802277509
danceability,3,-0.014249341738375916,-0.022137905503177836,0.1779299606813618
energy,1,0.9825723997402707,0.9272839501519914,0.9849228414264812
energy,2,0.16591397657086007,0.14460012117571536,0.1836510701552902
energy,3,-0.04500776086394325,-0.272483090286741,-0.03817360049864577
loudness,1,0.7100102398165813,0.7046633656044676,0.7190759991964634
loudness,2,0.284112185700219,0.2698380644824006,0.37461686230566316
loudness,3,-0.3132905670363531,-0.32011844150885155,-0.12810240580102972
speechiness,1,0.12028275167800172,0.025058333155177477,0.1261427081762082
speechiness,2,0.11096207690254872,0.089081125904347,0.1187559593496553
speechiness,3,-0.06762183337765934,-0.36995496453962246,-0.0631490627550986
acousticness,1,-0.7137030419503904,-0.8028702720439937,-0.7094010539389456
acousticness,2,-0.19369670238442252,-0.20605392558661637,-0.058216019025464985
acousticness,3,-0.01761275058503757,-0.08964015443177498,-0.011561306622254772
instrumentalness,1,-0.10857678222008696,-0.11433961377267249,-0.08239065687499737
instrumentalness,2,-0.183841366955335,-0.48384232882065725,-0.1738275331989137
instrumentalness,3,0.9743789307502214,0.15775254093473456,0.9763504146828562
liveness,1,0.20847855514987393,0.04790665992736128,0.21356237058516825
liveness,2,-0.12922533400729966,-0.136021949933662,-0.06055414035824911
liveness,3,-0.09046734112383926,-0.578604732409785,-0.08628398654386815
valence,1,0.16571061266335496,0.12793014541333741,0.1731534678488498
valence,2,0.4942555621982268,0.4885379774370413,0.6859965103050897
valence,3,-0.22760629130395413,-0.23442547290574317,-0.07355158945835968
tempo,1,0.2650189257272636,0.258989615049395,0.27840545235563235
tempo,2,-0.015554077172719345,-0.021614489539656816,0.03227185337904508
tempo,3,-0.03196324715320164,-0.03621908618645249,-0.0015296821871515528
